time,ax,ay,az,atotal
3.874,-0.11,0.05,-1.61,1.62
3.884,-0.38,0.19,-1.59,1.64
3.894,-0.10,0.02,-1.94,1.94
3.904,-0.07,-0.51,-2.84,2.89
3.914,0.56,-1.64,-2.45,3.00
3.924,1.27,-2.12,-0.37,2.50
3.934,1.79,-1.41,0.81,2.42
3.944,1.76,-1.35,1.11,2.49
3.954,0.95,-0.73,0.97,1.54
3.964,0.23,0.96,-0.45,1.09
3.974,-0.11,1.22,-0.75,1.43
3.984,-0.20,0.58,-0.88,1.08
3.994,-0.40,1.69,-1.59,2.36
4.004,-0.27,1.89,-2.15,2.88
4.014,0.08,0.50,-1.68,1.76
4.024,0.45,0.61,-0.47,0.89
4.034,0.48,1.20,0.07,1.29
4.044,0.22,1.36,-0.17,1.39
4.054,0.39,1.57,-0.44,1.67
4.064,0.78,1.69,-0.84,2.04
4.074,0.92,1.47,-0.45,1.80
4.084,0.76,1.34,0.11,1.55
4.094,0.75,0.83,0.45,1.20
4.104,0.25,0.38,0.74,0.87
4.114,0.13,0.26,0.38,0.48
4.124,0.53,-0.31,0.04,0.61
4.134,1.10,-0.20,-0.38,1.18
4.143,1.84,-0.19,-0.61,1.95
4.154,1.49,-0.08,-0.44,1.56
4.164,1.03,0.03,-0.40,1.11
4.174,0.56,-0.12,-0.41,0.70
4.184,0.75,-0.28,0.13,0.81
4.194,1.53,-0.48,0.36,1.65
4.204,1.97,-0.36,-0.06,2.00
4.214,2.01,-0.32,-0.54,2.10
4.223,1.79,-0.44,-0.69,1.97
4.233,1.59,-0.54,-0.82,1.86
4.243,1.43,-1.12,-0.65,1.93
4.254,1.98,-1.88,0.04,2.73
4.263,2.11,-1.79,0.20,2.77
4.273,2.25,-1.86,0.47,2.96
4.283,1.34,-1.01,-0.18,1.69
4.293,-0.56,-0.13,-1.34,1.45
4.303,-0.18,-0.45,-1.81,1.88
4.314,0.70,0.12,-1.26,1.45
4.323,1.42,0.67,-1.10,1.92
4.335,1.66,0.65,-0.61,1.88
4.343,1.23,0.55,-0.47,1.42
4.353,0.54,0.72,-0.78,1.19
